smiles,name,drugname,description,drugbank_id,PubChem_CID
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,Brimonidine,Brimonidine,"Brimonidine is an alpha-2 adrenergic agonist used to treat glaucoma and ocular hypertension, as well as facial erythema in rosacea.",DB00484,2435.0
C#CCN[C@@H]1CCC2=CC=CC=C12,Rasagiline,Rasagiline,Rasagiline is an irreversible inhibitor of monoamine oxidase used for the symptomatic management of idiopathic Parkinson's disease as initial monotherapy and as adjunct therapy to levodopa.,DB01367,3052776.0
C(C1=NCCN1)C1=CC=CC2=CC=CC=C12,Naphazoline,Naphazoline (nasal),"Naphazoline is a sympathomimetic vasoconstrictor used for the symptomatic relief of redness and itching of the eye, and nasal congestion.",DB06711,4436.0
C(C1=NCCN1)C1=CC=CC=C1,Tolazoline,Tolazoline,Tolazoline is a vasodilator used to treat pulmonary artery anomalies.,DB00797,5504.0
C1C2CNCC1C1=C2C=C2N=CC=NC2=C1,Varenicline,Varenicline,Varenicline is a partial agonist at nicotinic acetylcholine receptors used as an aid in smoking cessation.,DB01273,5310966.0
C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,Levamisole,Levamisole,Levamisole is levamisole is a nicotinic receptor agonist used to treat helminth infections and some skin infections.,DB00848,26879.0
C1CN=C(N1)C1CCCC2=CC=CC=C12,Tetryzoline,Tetryzoline (nasal),"Tetryzoline is an alpha-adrenergic agonist used in the temporary symptomatic relief of discomfort and redness of the eyes due to minor irritations, as well as alleviate nasal congestion.",DB06764,5419.0
C1CNCCN1,Piperazine,Piperazine,Piperazine is a medication used to treat roundworm and pinworm.,DB00592,4837.0
C1N2CN3CN1CN(C2)C3,Methenamine,Methenamine,Methenamine is a urinary tract antiseptic and antibacterial drug used for the prophylaxis and treatment of frequently recurring urinary tract infections requiring a long-term therapy.,DB06799,4101.0
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1,Linagliptin,Linagliptin,Linagliptin is a dipeptidyl peptidase-4 (DPP-4) inhibitor used to manage hyperglycemia in patients with type 2 diabetes mellitus.,DB08882,10096344.0
CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,Palbociclib,Palbociclib,Palbociclib is an endocrine-based chemotherapeutic agent used in combination with other antineoplastic agents to treat HER2-negative and HR-positive advanced or metastatic breast cancer.,DB09073,5330286.0
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,Acetohexamide,Acetohexamide,A sulfonylurea hypoglycemic agent that is metabolized in the liver to 1-hydrohexamide. Acetohexamide has been discontinued in the US market.,DB00414,1989.0
CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O,Acenocoumarol,Acenocoumarol,"Acenocoumarol is an anticoagulant drug used in the prevention of thromboembolic diseases in infarction and transient ischemic attacks, as well as management of deep vein thrombosis and myocardial infarction.",DB01418,54676537.0
CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,Warfarin,Warfarin,"Warfarin is a vitamin K antagonist used to treat venous thromboembolism, pulmonary embolism, thromboembolism with atrial fibrillation, thromboembolism with cardiac valve replacement, and thromboembolic events post myocardial infarction.",DB00682,54678486.0
CC(=O)N(CC(O)CN(C(C)=O)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I,Iodixanol,Iodixanol,"Iodixanol is a contrast agent used during coronary angiography, particularly in patients with renal dysfunction.",DB01249,3724.0
