drug,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,TSNE1,TSNE2,cluster_kmeans_5,cluster_kmeans_6,cluster_kmeans_7,cluster_kmeans_8,cluster_kmeans_9,cluster_kmeans_10,cluster_kmeans_11,cluster_kmeans_12,cluster_kmeans_13,cluster_kmeans_14,cluster_kmeans_15,cluster_kmeans_16,cluster_kmeans_17,cluster_kmeans_18,cluster_kmeans_19,cluster_kmeans_20,cluster_birch_5,cluster_birch_6,cluster_birch_7,cluster_birch_8,cluster_birch_9,cluster_birch_10,cluster_birch_11,cluster_birch_12,cluster_birch_13,cluster_birch_14,cluster_birch_15,cluster_birch_16,cluster_birch_17,cluster_birch_18,cluster_birch_19,cluster_birch_20,cluster_agglomerative_5,cluster_agglomerative_6,cluster_agglomerative_7,cluster_agglomerative_8,cluster_agglomerative_9,cluster_agglomerative_10,cluster_agglomerative_11,cluster_agglomerative_12,cluster_agglomerative_13,cluster_agglomerative_14,cluster_agglomerative_15,cluster_agglomerative_16,cluster_agglomerative_17,cluster_agglomerative_18,cluster_agglomerative_19,cluster_agglomerative_20
DB11068,8.217377767866736,-0.3003821581292107,-0.0673024311037264,0.0951469455592038,-0.2811601336458623,0.0839511362445976,0.4072458480968172,-0.0137734587939552,-0.584193062267528,0.1009388098425956,-0.282954744213648,0.0797794836921513,-0.1154244988933317,0.1593060704582841,0.0449933599139897,-0.109080975058342,0.0563468235556907,-0.0446762541452322,-0.0805672010360199,0.0126970180464195,0.0850251656294705,0.1019838955368586,0.1285675762090199,0.206571213234897,-0.0050458314029517,0.1386799720895858,-0.3065411367805002,-0.1648531287647967,-0.1425271923727099,-0.0374858520334203,-0.0929339514400685,-0.2145795834082186,0.1359034987513955,0.0020738385809785,0.0489989204312982,0.0945700442885167,-0.3152954878254832,-0.017383264729855,-0.0130397003026508,-0.1587909811933608,0.0938580516179227,0.0087332319712487,-0.2374669457983718,0.1494212956641319,0.0918594913747776,-0.0353257544058401,-0.0261101595982871,0.0402193787878389,-0.039821409439318,0.0369370148748379,52.765568,-13.995744,4,5,3,7,8,8,4,7,0,9,5,5,2,17,14,9,3,3,3,3,3,3,1,0,4,4,4,4,4,4,1,0,2,2,0,7,7,7,7,7,7,3,3,1,0,17,17,17
DB04824,0.2538084379969022,-2.5404706378264184,-1.4346573642150569,1.4992043354970417,0.4728891030808029,0.2076154449933902,0.65471738448754,0.6195464928044608,-0.242318625388995,-0.1580817599113637,-0.4866381447156783,0.2877124969411885,0.1866981094830957,-0.1828463607187067,-0.1696450564662479,-0.2838689252239374,0.7777993236336761,-0.3171671520171088,0.1433638094589281,-0.0472969148958333,-0.1858135401305821,-0.1529127291828235,0.0030613999125983,0.0741497728688743,0.030691992575336,0.052673840994932,0.2347966982819144,-0.2756780676598403,0.0239948477432577,-0.0444866801303644,0.1278923950488958,-0.094712100368311,0.082149855633418,0.05718882253934,0.0829234144458346,0.0518826541794554,0.0446194655424889,-0.179114357401608,0.0441648361780812,0.072871692780963,-0.1278788835850295,-0.0208026786809202,-0.0383761169753156,0.0772627512008953,0.0152637115653353,-0.0116200834413985,0.0404876713997139,-0.0648645044569536,-0.0694435915532923,0.0380518957267596,12.7527,-44.532677,2,4,2,3,2,2,6,11,5,10,9,9,16,14,10,11,1,1,1,0,2,0,10,10,10,10,10,10,10,10,4,4,1,1,1,0,8,8,8,8,8,8,8,3,3,1,0,9
DB01298,-1.0322720388876052,-2.881959230265811,-0.1726794921465885,-0.1941014871845661,0.5539230985640182,0.1049506076498725,-0.6288564976880848,-0.5185298790539382,0.6321341091448701,-0.554995008010386,0.0950936230755455,-0.6365670822339589,0.2081198050872581,-0.0406673007050273,0.2617310010472649,0.661686035894635,0.1200537805933486,-0.0470432928628401,0.0012633350587636,0.2927775869356372,-0.0087897556966597,-0.346132135778884,0.1528022663162334,0.0865838148333418,-0.0859336111953478,-0.1124800235516356,-0.4152910987610114,-0.0390463321250823,0.142928454442483,-0.1327055868621592,0.0702207643083796,-0.1484418239226924,0.2647240798396004,0.1433505169322343,-0.3451765159456315,0.1621188309806167,-0.152420228458416,0.0075155023219425,0.0349560981670494,0.0399189850950246,0.0411459028063402,-0.0457510885373193,0.0405222052392495,0.0796485051826265,0.0194231728258605,0.0536321328624288,0.0327773187158401,-0.0280383812798557,-0.0143812281391527,-0.0055312218173812,7.088441,-34.752872,2,4,2,3,2,2,6,11,5,10,9,9,16,14,18,2,1,1,1,0,8,8,3,1,0,6,6,2,0,6,6,6,1,1,1,0,3,3,3,3,1,0,6,6,6,6,6,6
DB00258,6.76097123760951,-0.8089309132151782,0.5512234726249121,-0.8263935049590638,-0.0988448302231192,-0.3159673863147859,0.928280247308108,-0.458609891177369,-0.0357673622975734,0.7892325674820426,-0.0233423613988929,-0.2770564980608712,-0.5640063274658381,0.1995751102222222,0.5724686929574738,-0.0249998518170365,0.0417862388996934,0.2371414341833617,-0.4047837583861163,-0.3807858642192019,0.6579155980545818,-0.0849044842458323,-0.601403596519262,-0.3445452770145594,0.1225977792188911,0.3809989067875308,-0.0263239439664319,-0.121207806114045,0.3082133820503566,-0.2099990086602049,0.2102196589431281,0.3109820922337318,0.2254272313889047,0.1434634694304183,-0.1949880679459316,-0.0054849970742545,-0.0396806404834552,-0.0054802451076922,-0.2444620608325171,-0.2017639790887134,0.005330840343669,0.3142047157141832,-0.0485270875731367,-0.1571000865264947,-0.2420498937073724,0.0055255882036749,0.1354215547589795,-0.0063949801856573,-0.2236762542407971,0.1260948085342671,42.458775,-14.904289,4,5,3,2,0,3,0,0,11,0,8,5,2,17,14,9,3,3,3,3,3,3,1,0,12,12,12,12,12,12,12,12,2,2,0,4,4,1,0,11,11,11,11,11,11,11,11,11
DB01299,-0.9070668295201576,-2.6123667886456308,0.1642453816752633,-0.3129631597136526,0.6483998153996484,0.3380422827181502,-0.5683628868979785,-0.2968213981508732,0.0800758042853879,-0.7087973702964532,0.0979844430174352,-0.8379594695823389,0.0999599228270683,-0.3125805512563809,0.2175288618444646,0.6838536735005902,0.1629608040980678,-0.0705664563876214,-0.0685937999719101,0.2322907333222069,-0.0041791751134267,-0.543348025411839,-0.1110659242938827,0.2914922725178304,-0.2885426922476818,-0.1867377766490898,-0.3613646157342131,0.0883357518066961,-0.0015434395147893,-0.1070849554799348,0.0482882554030151,-0.0222415139682354,0.2405177128270574,0.1864548482015099,-0.2690294577280286,0.0822499477670094,-0.1786592917736463,-0.1413519629063919,-0.0701241734437677,0.0274677377362838,0.1184051523729521,-0.0712385935957501,-0.0591883783493785,0.1085830864453427,0.0124846372719209,0.1199514069174105,-0.0138725930434384,0.0725161433972036,0.0378873950414741,-0.120679253165917,6.820931,-34.32531,2,4,2,3,2,2,6,11,5,10,9,9,16,14,18,2,1,1,1,0,8,8,3,1,0,6,6,2,0,6,6,6,1,1,1,0,3,3,3,3,1,0,6,6,6,6,6,6
DB00804,-0.8313385707000482,3.969734351392343,0.078267606486111,-0.7294674011378911,-0.3110883573699111,0.5622910595551479,0.418285388902291,-0.3696607042509406,0.4195040740924324,0.1147171766025885,0.1195815945710015,-0.2851952601152479,0.2011739465245451,-0.0934994048747251,0.2714553851912677,-0.1997686786637351,-0.1489736634834181,-0.3620463123494977,0.2186872960993566,0.0679949342869117,-0.0485523484695198,0.1324691021101465,-0.1326491393581629,0.1644074975959812,0.0399757750541488,0.1646427704258252,-0.0311221520150313,0.1351166597805527,-0.0132961895704714,-0.077692355280216,-0.0416948569053329,-0.0270059237351196,-0.0338543902131963,-0.1290983303445783,0.0273659207906199,0.0591353202813715,0.1474079679567521,0.0134617799037492,0.0309137887773034,-0.0972537607403153,-0.0637563072686872,-0.097310664023069,0.0216811646777229,0.0047916784475524,-0.1054660067596171,-0.030706805618989,0.0726744372664121,0.1418162904661075,-0.0027610853171227,0.109808220120433,-5.9157267,46.012844,3,3,5,0,3,5,5,3,1,12,0,6,8,2,12,5,0,5,2,2,0,9,9,9,9,9,9,9,9,9,9,9,0,5,2,2,2,2,2,0,12,12,12,12,12,12,12,12
DB06410,-0.0705447839567429,4.334716604678534,0.0749718475851594,-0.1058557753996107,0.4258188192338268,0.6487310371333225,0.1805595611076693,0.0564411417255379,0.4287280792370481,0.0788054767818412,-0.1744723448081745,-0.0256391659799219,0.1586061483114937,-0.0165090699231912,0.1727573326459502,-0.2329677011430578,-0.2927255340509676,-0.5116616250806434,0.0417020167456918,-0.0378841174039941,-0.1397064548938495,0.0844234336999819,-0.1679801425485024,0.1434974394689647,-0.0054418799057858,-0.2451607725971024,-0.001234615763088,-0.0902017904506507,0.5116142492875498,0.1293452323670855,0.1625398371278692,0.081459363471283,-0.1782590213550935,-0.1250794530665035,-0.0261363726923893,0.1583364253793376,-0.294741409459015,0.1634781728326025,0.0057083185256236,-0.1547475622762571,0.3087219406856982,0.1289180272222323,0.2267843972670132,0.1617186333089914,-0.1978740782450803,-0.018780386184537,0.0057233882397753,0.0929515787329059,0.2540754464386844,-0.2170469036730437,-0.20155576,44.77887,3,3,5,0,3,5,5,3,1,12,0,6,8,2,12,5,0,5,2,2,0,9,9,9,9,9,9,9,9,9,9,9,0,5,2,2,2,2,2,0,12,12,12,12,12,12,12,12
DB06704,1.3417813685540834,-2.8203939544614323,-0.0715242306432774,-0.5873278746404316,0.6989408454475092,0.7969456606125185,-0.5689893491931408,-0.262760422173159,0.0765396273099737,0.3550488776357958,0.5261112101461862,-0.2741852254353293,0.4884610455303403,0.246945226794276,0.0110887086541982,-0.0425942863078026,-0.0979247928946736,0.1273459283807864,0.1046468539247571,0.1623699258652263,0.0010141856053735,-0.1055891451899446,0.0069518300217541,-0.1509163743614563,0.0708966768678048,-0.0864353189043102,0.2197689677018786,-0.0279294208396607,0.0307190686615787,0.0683061512630147,0.0793169208903622,0.2085944303857511,-0.0747731792494628,0.0211697872754996,0.0655059068232529,-0.2028454716553979,0.0665040564030202,0.0485615787585915,-0.1132820394134132,-0.0738257424739709,0.1188481743247837,0.1229911933525581,-0.0784665589607108,-0.0729202404114083,0.0735922206294326,-0.0810598818781586,-0.1294652971053582,0.0213348310972247,0.0137109903380255,-0.0479311701914077,14.4684105,-30.96579,2,4,2,3,2,7,7,4,7,6,1,3,4,16,3,2,1,1,1,0,2,0,8,8,8,8,8,8,8,8,8,8,1,1,1,0,3,3,3,3,1,0,6,6,6,6,6,6
DB00346,-2.695538375866595,1.2400927302352258,0.5537240820322443,-0.2869346860944869,-0.320518723611478,-0.1331361574642356,-0.6602519406054962,-0.1632098433566346,-0.5362049350086274,-0.3678814253681414,-0.1263223049717036,-0.6957343626986262,0.004979245983756,-0.0732847775859227,0.088394469101659,-0.1403918735889109,0.0349131818456155,0.1174611499304918,-0.1002837298902133,-0.1406956316949746,0.0393199543183553,-0.1725700851726586,-0.253058864100482,0.2015321026916764,-0.2530012143570783,-0.0248215246570824,0.0959749422134319,0.193544533177418,-0.0554885287575,-0.0752387652132548,-0.1085064344794156,0.1987072530836588,-0.0950880470587356,0.08641586997662,-0.0010137797852426,-0.0370696508015174,0.0919368986605416,-0.1073468893474789,-0.0246447400713684,0.0503214907997983,0.0797892570891607,-0.0203901843349059,-0.2041385722090448,0.0340498876174891,-0.0285405463623115,0.0164247578252689,-0.0955165648713759,0.2231460114679328,0.0713974104157241,-0.0343366025723678,-32.998158,17.961632,0,0,1,6,1,9,9,8,9,4,7,4,11,7,16,8,2,0,6,6,6,6,6,6,6,2,2,0,5,5,5,5,3,3,3,3,1,0,10,10,10,10,10,10,4,4,4,1
DB13985,2.6129566744356225,2.113830506243491,-0.2318190494643001,2.205578359013056,1.1281485975806569,-0.5566699915919824,-0.1004685898735202,0.241239489418495,0.1016527157701633,-0.0867734234510019,0.8657892733326121,0.1494397129814709,-0.295583030587933,0.0993240290405652,-0.0078098659955534,-0.1179487636058749,0.1404619037516748,0.0883190969111281,0.2151048443253751,-0.0288624592699774,0.0033010297064759,0.2733099197081083,0.0301972155496188,0.0077591915792595,-0.00147352041326,-0.0475841568564582,0.0195518442804445,-0.014373384785849,0.0499784800025765,0.002059721456065,0.0764171725968927,-0.0559074113779434,0.0250855304415104,0.1073144538002822,-0.0557348258851212,-0.1258828040359195,0.0082450372677152,-0.1152566805201939,-0.0259884918235735,0.020214417323323,-0.0563425166969308,-0.0934559665884905,-0.0400559896646203,-0.0454035775874703,0.0862192480273447,0.0667317309262628,0.0235359824035383,-0.046093368958578,-0.0008970799516447,0.0062150378553268,24.364489,38.24826,1,2,0,5,4,6,3,9,6,3,6,7,14,11,11,1,0,2,0,7,7,7,7,7,7,7,7,7,7,7,7,3,0,0,6,6,6,6,6,6,6,6,2,2,2,2,2,2
